State,Commodity,Year,Month,Market,Current_Month price,Prev_Month price,Prev_2_Month price,Price_Velocity,Current_Month arrivals,Prev_Month arrivals,Prev_2_Month arrivals,Rainfall_mm,Rainfall_Lag,Diesel_Price_Rs_per_Litre,Irrigation_Water_Usage_MCM,Area,Production,Yield,msp,Temperature
Maharashtra,Wheat,2021,May,Aarni APMC,1750.0,1811.0333184546637,1750.6262513587474,60.40706709591632,21.0,14.070188369747566,30.153475847106535,35,35.0,95,225,304.59,1077.42,3537.0,1853.0,27.97
Maharashtra,Wheat,2021,June,Aarni APMC,1702.0575483704897,1750.0,1811.0333184546637,-61.033318454663686,21.109304824170003,21.0,14.070188369747566,280,35.0,97,165,304.59,1077.42,3537.0,1853.0,28.36
Maharashtra,Wheat,2021,July,Aarni APMC,1496.3424022965005,1548.784528567572,1750.0,-201.2154714324281,42.44048665534834,74.57339013207213,21.0,880,280.0,99,92,304.59,1077.42,3537.0,1853.0,28.36
Maharashtra,Wheat,2022,May,Aarni APMC,2141.501147588533,2158.902029407599,1548.784528567572,610.1175008400271,42.02248434819885,79.54608918852229,74.57339013207213,45,880.0,100,260,314.01,1105.54,3521.0,2015.0,27.477992724296993
Maharashtra,Wheat,2021,January,Achalpur APMC,1682.9980831261596,1618.843342076994,1603.7443909339486,15.098951143045497,265.9122841758331,324.1206664380232,268.9856400539651,3,3.0,87,122,304.59,1077.42,3537.0,1853.0,21.43
Maharashtra,Wheat,2021,February,Achalpur APMC,1737.74199377113,1724.6018676223246,1618.843342076994,105.75852554533049,238.0478048629684,142.35079859376924,324.1206664380232,2,3.0,89,110,304.59,1077.42,3537.0,1853.0,21.43
Maharashtra,Wheat,2021,April,Achalpur APMC,1998.0820320415376,1914.0548170661916,1724.6018676223246,189.45294944386706,142.25053781985272,219.074339724257,142.35079859376924,14,2.0,93,185,304.59,1077.42,3537.0,1853.0,27.97
Maharashtra,Wheat,2021,May,Achalpur APMC,1773.06,1798.2632117631654,1914.0548170661916,-115.79160530302624,396.0,703.0276003442764,219.074339724257,35,14.0,95,225,304.59,1077.42,3537.0,1853.0,27.97
Maharashtra,Wheat,2021,June,Achalpur APMC,1775.61,1773.06,1798.2632117631654,-25.203211763165427,497.0,396.0,703.0276003442764,280,35.0,97,165,304.59,1077.42,3537.0,1853.0,28.36
Maharashtra,Wheat,2021,July,Achalpur APMC,1737.25,1775.61,1773.06,2.5499999999999545,251.0,497.0,396.0,880,280.0,99,92,304.59,1077.42,3537.0,1853.0,28.36
Maharashtra,Wheat,2021,August,Achalpur APMC,1769.28,1737.25,1775.61,-38.3599999999999,415.0,251.0,497.0,810,880.0,101,87,304.59,1077.42,3537.0,1853.0,28.36
Maharashtra,Wheat,2021,September,Achalpur APMC,1755.97,1769.28,1737.25,32.02999999999997,67.0,415.0,251.0,470,810.0,103,108,304.59,1077.42,3537.0,1853.0,28.36
Maharashtra,Wheat,2021,October,Achalpur APMC,1753.16,1755.97,1769.28,-13.309999999999945,87.0,67.0,415.0,120,470.0,105,155,304.59,1077.42,3537.0,1853.0,23.66
Maharashtra,Wheat,2021,November,Achalpur APMC,1833.48,1753.16,1755.97,-2.8099999999999454,115.0,87.0,67.0,22,120.0,102,175,304.59,1077.42,3537.0,1853.0,23.66
Maharashtra,Wheat,2021,December,Achalpur APMC,1838.45,1833.48,1753.16,80.31999999999994,262.0,115.0,87.0,4,22.0,101,132,304.59,1077.42,3537.0,1853.0,23.66
Maharashtra,Wheat,2022,January,Achalpur APMC,1855.18,1838.45,1833.48,4.970000000000027,338.0,262.0,115.0,5,4.0,100,135,314.01,1105.54,3521.0,2015.0,20.400436361409213
Maharashtra,Wheat,2022,February,Achalpur APMC,1864.0,1855.18,1838.45,16.730000000000018,100.0,338.0,262.0,3,5.0,98,125,314.01,1105.54,3521.0,2015.0,20.400436361409213
Maharashtra,Wheat,2022,March,Achalpur APMC,2081.35092693579,1864.0,1855.18,8.819999999999936,407.2128971790305,100.0,338.0,9,3.0,102,165,314.01,1105.54,3521.0,2015.0,27.477992724296993
Maharashtra,Wheat,2022,May,Achalpur APMC,2156.189363973518,2172.8768610078127,1864.0,308.87686100781275,413.701392120469,719.8979426913926,100.0,45,9.0,100,260,314.01,1105.54,3521.0,2015.0,27.477992724296993
Maharashtra,Wheat,2022,June,Achalpur APMC,2012.05,2064.747009449049,2172.8768610078127,-108.12985155876368,471.0,518.541560647519,719.8979426913926,320,45.0,99,190,314.01,1105.54,3521.0,2015.0,27.888590192906765
Maharashtra,Wheat,2022,July,Achalpur APMC,2132.11,2012.05,2064.747009449049,-52.69700944904912,779.0,471.0,518.541560647519,990,320.0,98,78,314.01,1105.54,3521.0,2015.0,27.888590192906765
Maharashtra,Wheat,2022,August,Achalpur APMC,2221.28,2132.11,2012.05,120.06000000000017,639.0,779.0,471.0,920,990.0,100,75,314.01,1105.54,3521.0,2015.0,27.888590192906765
